event_id,state,district,lat,lng,geology,year,label
MZ/KOL/83D12/2016/10,Mizoram,Kolasib,24.021514,92.673778,"Shale,  siltstone and  fossiliferous sandstone",2016.0,2
MZ/LUN/84A16/2018/70,Mizoram,Lunglei,23.048967,92.907501,Shale,2018.0,2
MZ/LUN/84B13/2018/25,Mizoram,Lunglei,22.82402,92.608917,Shale-siltstone sequence with sandstone,2018.0,2
MZ/AIZ/84A10/2015/72,Mizoram,Aizawl,23.604611,92.726417,"Grey sandy splintery shale, siltstone and mudstone",2015.0,2
MZ/CHA/84E02/2017/18,Mizoram,Champhai,23.55097,93.215688,Siltstone/Shale,2017.0,2
MZ/AIZ/84A14/2015/61,Mizoram,Aizawl,23.535189,92.846042,"Sandstone with subordinate siltstone, mudstone and shale",2015.0,2
MZ/SER/84A15/2016/33,Mizoram,Serchhip,23.405305,92.851014,"Grey sandy splintery shale, siltstone and mudstone",2016.0,2
MZ/LUN/84A12/2018/80,Mizoram,Lunglei,23.140694,92.551529,Shale-sandstone,2018.0,2
MZ/CHA/84E08/2017/19,Mizoram,Champhai,23.15114,93.283462,Ferruginous sandstone with splintery shale,2017.0,2
MZ/LUN/84B05/2020/20,Mizoram,Lunglei,22.9,92.49,"Sansdtone,siltstone,shale",2020.0,2
MZ/CHA/84E02/2017/9,Mizoram,Champhai,23.629553,93.077474,shale/sandstone,2017.0,2
MZ/CHA/84E07/2017/58,Mizoram,Champhai,23.496347,93.310454,"Sandstone, shale, siltstone with conglomerate",2017.0,2
MZ/CHA/84E02/2017/0126,Mizoram,Champhai,23.570595,93.07382,sandstone,2017.0,2
MZ/SAI/84F03/2020/33,Mizoram,Saiha,22.49,93.01,"Sandstone with subordinate siltstone,mudstone, shale",2020.0,2
MZ/CHA/84E03/2017/41,Mizoram,Champhai,23.474528,93.241611,"Sandstone, shale, siltstone with conglomerate",2017.0,2
MZ/KOL/83D15/2020/45,Mizoram,Kolasib,24.41,92.8,"Sandstone, shale, siltstone and conglomerate",2020.0,2
MZ/AIZ/84A10/2015/203,Mizoram,Aizawl,23.716111,92.712611,"Grey sandy splintery shale, siltstone and mudstone",2015.0,2
MZ/KOL/83D12/2016/8,Mizoram,Kolasib,24.004867,92.677265,"Shale,  siltstone and  fossiliferous sandstone",2016.0,2
MZ/LAW/84B11/2020/55,Mizoram,Lawngtlai,22.43,92.69,"Siltstone, micaceous sandstone & splintery shale",2020.0,2
MZ/LUN/84B13/2018/29,Mizoram,Lunglei,22.829491,92.760933,"Sandstone with subordinate siltstone,mudstone, shale",2018.0,2
MZ/AIZ/84E01/2017/51,Mizoram,Aizawl,23.792555,93.029892,Shalesiltstonesandstone intercalation,2017.0,2
MZ/LAW/84B11/2020/21,Mizoram,Lawngtlai,22.35,92.66,Sandstone and siltstone,2020.0,2
MZ/LUN/84B13/2018/69,Mizoram,Lunglei,22.87056,92.822105,"Sandstone with subordinate siltstone,mudstone, shale",2018.0,2
MZ/LUN/84B13/2018/30,Mizoram,Lunglei,22.832573,92.892761,"Sandstone with subordinate siltstone,mudstone, shale",2018.0,2
MZ/LAW/84B14/2018/17,Mizoram,Lawngtlai,22.568556,92.87944,"Sandstone, siltstone and shale",2018.0,2
MZ/KOL/83D15/2020/23,Mizoram,Kolasib,24.34,92.84,"Sandstone, shale, siltstone and conglomerate",2020.0,2
MZ/MAM/84A10/2015/172,Mizoram,Mamit,23.674694,92.597361,"Sandstone with subordinate siltstone, mudstone and shale",2015.0,2
MIZ/AIZ/84A13/2016/134,Mizoram,Aizawl,23.811722,92.959917,"Shale (splintery, grey)- medium thinly bedded sandstone intercalation",2016.0,2
MZ/KOL/83D15/2020/15,Mizoram,Kolasib,24.39,92.79,"Sandstone, shale, siltstone and conglomerate",2020.0,2
MZ/LUN/84A16/2018/18,Mizoram,Lunglei,23.23035,92.79808,Shale-silty sandstone,2018.0,2
MZ/CHA/84E06/2017/8,Mizoram,Champhai,23.640448,93.343559,Shale dominant,2017.0,2
MZ/CHA/84E06/2017/28,Mizoram,Champhai,23.659891,93.349052,"Sequence of siltstone, shale & sandstone with coal",2017.0,2
MZ/SAI/84B15/2018/53,Mizoram,Saiha,22.459,92.952003,Sandstone and siltstone,2018.0,2
MZ/LAW/84B14/2018/35,Mizoram,Lawngtlai,22.528,92.896004,Sandstone and siltstone,2018.0,2
MZ/SER/84A15/2016/18,Mizoram,Serchhip,23.28985,92.860445,"Grey sandy splintery shale, siltstone and mudstone",2016.0,2
MZ/SER/84A16/2018/91,Mizoram,Serchhip,23.176575,92.979797,Sandstone-shale,2018.0,2
MZ/AIZ/83D16/2016/50,Mizoram,Aizawl,24.091664,92.796134,Splintery shale with  siltstone and conglomerate,2016.0,2
MZ/LAW/84B15/2018/16,Mizoram,Lawngtlai,22.447001,92.882004,"Sandstone, siltstone and shale",2018.0,2
MZ/LAW/84B10/2020/42,Mizoram,Lawngtlai,22.61,92.54,"Shale, siltstone and mudstone with sandstone",2020.0,2
MZ/MAM/84A10/2015/144,Mizoram,Mamit,23.519139,92.5795,"Grey sandy splintery shale, siltstone and mudstone",2015.0,2
MZ/LAW/84B12/2020/11,Mizoram,Lawngtlai,22.21,92.61,Sandstone and shale,2020.0,2
MZ/SER/84A15/2016/9,Mizoram,Serchhip,23.282258,92.852377,"Grey sandy splintery shale, siltstone and mudstone",2016.0,2
MIZO/LUN/84B09/2005/E-5,Mizoram,Lunglei,22.851028,92.694972, ,2005.0,2
MZ/SER/84A16/2018/44,Mizoram,Serchhip,23.222853,92.941536,Grey splintery shale,2018.0,2
MZ/LUN/84A12/2018/26,Mizoram,Lunglei,23.230371,92.673973,Sandstone-shale,2018.0,2
MZ/MAM/83D08/2020/15,Mizoram,Mamit,24.17,92.33,Ferruginous sandstone with siltstone and clay,2020.0,2
MZ/KOL/83D12/2020/1,Mizoram,Kolasib,24.18,92.54,"Shale, siltstone and mudstone with sandstone",2020.0,2
MIZ/AIZ/84A13/2016/127,Mizoram,Aizawl,23.865694,92.932639,Grey Splintery Shale,2016.0,2
MZ/LUN/84B09/2018/26,Mizoram,Lunglei,22.873558,92.755951,"Sandstone with subordinate siltstone,mudstone, sh",2018.0,3
MZ/SER/84A15/2016/76,Mizoram,Serchhip,23.43481,92.873933,"Grey sandy splintery shale, siltstone and mudstone",2016.0,2
MZ/CHA/84E03/2017/43,Mizoram,Champhai,23.341111,93.080583,Shale  with minor siltstone and sandstone,2017.0,2
MZ/LUN/84B13/2018/6,Mizoram,Lunglei,22.788198,92.825165,"Grey sandy splintery shale, siltstone and mudstone",2018.0,2
MZ/MAM/84A05/2020/11,Mizoram,Mamit,23.79,92.36,Shale-siltstone sequence with sandstone,2020.0,2
MZ/LAW/84B14/2018/45,Mizoram,Lawngtlai,22.525,92.865997,Sandstone and siltstone,2018.0,2
MIZ/AIZ/84A09/2016/52,Mizoram,Aizawl,23.852722,92.743306,Sandstone,2016.0,2
MZ/CHA/84E01/2017/42,Mizoram,Champhai,23.868279,93.222557,Sandstone,2017.0,2
MZ/KOL/83D12/2016/5,Mizoram,Kolasib,24.238745,92.681538,"Shale,  siltstone and  fossiliferous sandstone",2016.0,2
MZ/KOL/83D12/2016/6,Mizoram,Kolasib,24.24496,92.683014,"Shale,  siltstone and  fossiliferous sandstone",2016.0,2
MZ/AIZ/84A14/2015/114,Mizoram,Aizawl,23.665806,92.892639,"Sandstone with subordinate siltstone, mudstone and shale",2015.0,2
MIZ/AIZ/84A09/2016/77,Mizoram,Aizawl,23.754493,92.690145,Sandstone and shale,2016.0,2
MZ/LUNG/84B14/2018/24,Mizoram,Lunglei,22.673,92.844002,"Sandstone, siltstone and shale",2018.0,3
MZ/AIZ/84A14/2015/68,Mizoram,Aizawl,23.708217,92.761489,"Grey sandy splintery shale, siltstone and mudstone",2015.0,2
MZ/CHA/84E07/2017/35,Mizoram,Champhai,23.468389,93.27075,Olive green splintery shale with minor sandstone,2017.0,2
MZ/AIZ/84A10/2015/117,Mizoram,Aizawl,23.733083,92.675611,"Sandstone with subordinate siltstone, mudstone and shale",2015.0,2
