slope_deg,rainfall_24h_mm,rainfall_72h_mm,soil_moisture,elevation_m,lithology_code,ndvi,landslide_risk_level,event_id,state,district,lat,lng,year,data_source
36.2,110.5,201.5,0.43,856.0,4,0.52,2,MZ/KOL/83D12/2016/10,Mizoram,Kolasib,24.021514,92.673778,2016,GSI_REAL
36.2,110.5,201.5,0.43,626.0,4,0.52,2,MZ/LUN/84A16/2018/70,Mizoram,Lunglei,23.048967,92.907501,2018,GSI_REAL
36.2,110.5,201.5,0.43,282.0,4,0.52,2,MZ/LUN/84B13/2018/25,Mizoram,Lunglei,22.82402,92.608917,2018,GSI_REAL
36.2,110.5,201.5,0.43,755.0,4,0.52,2,MZ/AIZ/84A10/2015/72,Mizoram,Aizawl,23.604611,92.726417,2015,GSI_REAL
36.2,110.5,201.5,0.43,1270.0,4,0.52,2,MZ/CHA/84E02/2017/18,Mizoram,Champhai,23.55097,93.215688,2017,GSI_REAL
36.2,110.5,201.5,0.43,1092.0,4,0.52,2,MZ/AIZ/84A14/2015/61,Mizoram,Aizawl,23.535189,92.846042,2015,GSI_REAL
36.2,110.5,201.5,0.43,957.0,4,0.52,2,MZ/SER/84A15/2016/33,Mizoram,Serchhip,23.405305,92.851014,2016,GSI_REAL
36.2,110.5,201.5,0.43,352.0,4,0.52,2,MZ/LUN/84A12/2018/80,Mizoram,Lunglei,23.140694,92.551529,2018,GSI_REAL
36.2,110.5,201.5,0.43,1372.0,4,0.52,2,MZ/CHA/84E08/2017/19,Mizoram,Champhai,23.15114,93.283462,2017,GSI_REAL
36.2,110.5,201.5,0.43,210.0,4,0.52,2,MZ/LUN/84B05/2020/20,Mizoram,Lunglei,22.9,92.49,2020,GSI_REAL
36.2,110.5,201.5,0.43,979.0,4,0.52,2,MZ/CHA/84E02/2017/9,Mizoram,Champhai,23.629553,93.077474,2017,GSI_REAL
36.2,110.5,201.5,0.43,1495.0,4,0.52,2,MZ/CHA/84E07/2017/58,Mizoram,Champhai,23.496347,93.310454,2017,GSI_REAL
36.2,110.5,201.5,0.43,905.0,3,0.52,2,MZ/CHA/84E02/2017/0126,Mizoram,Champhai,23.570595,93.07382,2017,GSI_REAL
36.2,110.5,201.5,0.43,1204.0,4,0.52,2,MZ/SAI/84F03/2020/33,Mizoram,Saiha,22.49,93.01,2020,GSI_REAL
36.2,110.5,201.5,0.43,1109.0,4,0.52,2,MZ/CHA/84E03/2017/41,Mizoram,Champhai,23.474528,93.241611,2017,GSI_REAL
24.5,148.8,271.2,0.53,59.0,4,0.7,2,MZ/KOL/83D15/2020/45,Mizoram,Kolasib,24.41,92.8,2020,GSI_REAL
36.2,110.5,201.5,0.43,1030.0,4,0.52,2,MZ/AIZ/84A10/2015/203,Mizoram,Aizawl,23.716111,92.712611,2015,GSI_REAL
36.2,110.5,201.5,0.43,531.0,4,0.52,2,MZ/KOL/83D12/2016/8,Mizoram,Kolasib,24.004867,92.677265,2016,GSI_REAL
